timestamp,ontario_demand_mw,predicted_demand_mw,baseline_demand_mw,lower_90_mw,upper_90_mw,absolute_error_mw
2026-07-06 00:00:00,14953,14480.784505633024,14972.0,13383.3456974353,16042.736067973168,472.2154943669757
2026-07-06 01:00:00,14396,14168.770740775486,14338.0,13071.331932577761,15730.72230311563,227.22925922451395
2026-07-06 02:00:00,13981,14336.876353596066,14046.0,13239.437545398341,15898.82791593621,355.8763535960661
2026-07-06 03:00:00,13719,14355.488246155544,13977.0,13258.04943795782,15917.439808495688,636.4882461555444
2026-07-06 04:00:00,14003,14153.515521758003,14182.0,13056.076713560278,15715.467084098147,150.51552175800316
2026-07-06 05:00:00,14741,14028.948781424217,14789.0,12931.509973226492,15590.90034376436,712.0512185757834
2026-07-06 06:00:00,16032,15542.56021858546,16200.0,14445.121410387736,17104.511780925604,489.43978141453954
2026-07-06 07:00:00,16880,16005.282685469252,17384.0,14907.843877271527,17567.234247809396,874.7173145307479
2026-07-06 08:00:00,17816,16309.933158103939,18199.0,15212.494349906214,17871.884720444083,1506.0668418960613
2026-07-06 09:00:00,18390,16927.0026323794,19142.0,15829.563824181676,18488.954194719543,1462.997367620599
2026-07-06 10:00:00,18889,17925.504662497326,19796.0,16828.065854299603,19487.456224837468,963.4953375026744
2026-07-06 11:00:00,19418,18287.531495529027,20468.0,17190.0926873313,19849.48305786917,1130.4685044709731
2026-07-06 12:00:00,20029,18369.61735479206,20693.0,17272.178546594332,19931.5689171322,1659.382645207941
2026-07-06 13:00:00,20511,18177.530518477553,21019.0,17080.091710279827,19739.482080817696,2333.4694815224466
2026-07-06 14:00:00,21110,18364.449096463337,21164.0,17267.010288265614,19926.40065880348,2745.550903536663
2026-07-06 15:00:00,21459,19488.22924303062,21718.0,18390.790434832896,21050.18080537076,1970.7707569693812
2026-07-06 16:00:00,22126,20132.52448333742,22120.0,19035.085675139693,21694.476045677562,1993.47551666258
2026-07-06 17:00:00,22353,20053.58975566153,22234.0,18956.150947463808,21615.541318001673,2299.410244338469
2026-07-06 18:00:00,22117,19778.035750547027,21862.0,18680.5969423493,21339.98731288717,2338.9642494529726
2026-07-06 19:00:00,21406,18872.66623321931,21383.0,17775.227425021585,20434.61779555945,2533.333766780692
2026-07-06 20:00:00,20868,18940.503829720346,20934.0,17843.06502152262,20502.45539206049,1927.4961702796536
2026-07-06 21:00:00,19660,17527.156476340046,19579.0,16429.717668142323,19089.108038680188,2132.8435236599544
2026-07-06 22:00:00,18251,16171.436338294157,18041.0,15073.997530096432,17733.3879006343,2079.5636617058426
