date,average_demand_mw,peak_demand_mw,minimum_demand_mw,total_energy_gwh,hour_of_day,load_factor
2023-07-31,15662.416666666666,18628,12364,375.898,17,0.8407996922195977
2023-08-01,15743.625,18484,12790,377.847,17,0.8517433996970353
2023-08-02,16052.5,18861,12633,385.26,16,0.8510948518106145
2023-08-03,17737.916666666668,21364,13563,425.71,16,0.8302713287149723
2023-08-04,17178.583333333332,20324,13645,412.286,16,0.845236337991209
2023-08-05,15109.75,17724,12697,362.634,17,0.8525022568269014
2023-08-06,14463.791666666666,16722,11790,347.131,16,0.8649558465893235
2023-08-07,15591.333333333334,18059,12565,374.192,16,0.8633552983738487
2023-08-08,16271.041666666666,19078,13259,390.505,16,0.8528693608694132
2023-08-09,17341.708333333332,21281,13244,416.201,16,0.8148916091035822
2023-08-10,17098.125,19660,13976,410.355,17,0.869690996948118
2023-08-11,16245.5,19054,12865,389.892,16,0.852603127952136
2023-08-12,16109.458333333334,19218,13036,386.627,16,0.8382484302910466
2023-08-13,15339.625,18155,12429,368.151,17,0.8449256403194713
2023-08-14,16539.416666666668,19683,12994,396.946,16,0.8402894206506462
2023-08-15,16119.666666666666,18119,13030,386.872,19,0.8896554261640635
2023-08-16,17054.583333333332,20781,13169,409.31,17,0.8206815520587716
2023-08-17,16910.25,19907,13308,405.846,16,0.8494625006279198
2023-08-18,14907.208333333334,16246,12829,357.773,19,0.9175925355985063
2023-08-19,14102.541666666666,16665,11776,338.461,17,0.8462371237123713
2023-08-20,15515.833333333334,19048,11642,372.38,17,0.814564958700826
2023-08-21,16692.875,19381,13759,400.629,16,0.861301016459419
2023-08-22,15967.375,19028,12760,383.217,17,0.8391515135589658
2023-08-23,15485.541666666666,17355,13135,371.653,19,0.89228128301162
2023-08-24,16301.125,18750,12662,391.227,19,0.8693933333333334
2023-08-25,16590.125,18637,13669,398.163,16,0.8901714331705747
2023-08-26,14843.0,16569,12751,356.232,16,0.8958295612288008
2023-08-27,13839.208333333334,16476,11629,332.141,17,0.8399616614064903
2023-08-28,15615.416666666666,18652,12238,374.77,17,0.8371979769819143
2023-08-29,16032.625,19048,12677,384.783,16,0.8416959785804284
2023-08-30,15159.0,16611,12826,363.816,16,0.9125880440671844
2023-08-31,14900.416666666666,17477,12226,357.61,18,0.8525729053422593
2023-09-01,15319.708333333334,18091,12500,367.673,17,0.8468137932305199
2023-09-02,14726.791666666666,16920,12460,353.443,18,0.8703777580772262
2023-09-03,15943.041666666666,19321,12245,382.633,16,0.8251664855166226
2023-09-04,17861.875,21725,13640,428.685,17,0.822180667433832
2023-09-05,19916.833333333332,23713,14712,478.004,16,0.839912003261221
